group;d_carbon;d_nitrogen;shelf;cluster_k2;cluster_k3;LME;LONG;MEOW_PROV;MEOW_ECO
SPSP;-17.05353;12.14647;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.22532;12.34468;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.00234;12.70766;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.03332;12.63668;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.98009;12.68991;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.82428;11.67572;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.92179;11.73821;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.31477;12.49523;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.83533;11.84467;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.26543;12.73457;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.05658;12.81342;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.88155;11.76845;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.31604;13.27396;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.16568;12.33432;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.45177;12.28823;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.41058;11.80942;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.22532;12.54468;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.90172;12.34828;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.93978;11.88022;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.14635;11.68365;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.83;10.65;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.9;10.04;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.03;10.25;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.26;10.95;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.49;10.92;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.12;11.02;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.62;10.53;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.17;10.92;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.74;10.49;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.81;10.54;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.07;10.28;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.02;10.27;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.82;10.28;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.92;10.34;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.82;10.05;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.39;10.08;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.11;11.02;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.89;10.68;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.72;10.11;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.94;10.28;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.85;10.01;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.9;10.62;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.08;10.63;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.82;10.52;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-17.03;10.49;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.93;10.6;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.69;10.47;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.67;10.48;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
SPSP;-16.75;10.61;não;SPSP;SPSP;EBS16;WTRA;TSA;TSA73
